timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
33.75,10,1010123456002,74,1,2,8,1,0,2.09302,43,0,0.022656,18,0,7.25,0.0,0,0,0.0,0,0.0,0,0.0,0,74,168,0,0,0,0.0
34.0,10,1010123456002,74,1,2,8,1,0,3.65,20,0,0.01104,8,0,11.5,6.28571,7,0,0.1,3,0.0,0,9.54138,31,17,46,0,0,0,1.85714
34.25,10,1010123456002,74,1,2,8,1,0,17.375,8,0,0.010464,3,0,10.5,1.76471,17,0,0.1,7,0.0,0,7.16153,0,7,8,0,0,0,1.0
34.5,10,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
34.75,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,13.2,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
35.0,10,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,13.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,6,4,0,0,0,0.0
35.25,10,1010123456002,74,1,2,8,1,0,4.7,30,0,0.021792,12,0,9.8,2.92308,26,0,0.1,10,0.0,0,8.10248,31,63,84,0,0,0,1.34615
35.5,10,1010123456002,74,1,2,8,1,0,17.2857,7,0,0.010464,3,0,12.5,0.0,0,0,0.0,0,0.0,0,0.0,0,43,12,0,0,0,0.0
35.75,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,13,8,0,0,0,0.0
36.0,10,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,13.4,0.0,4,149919,0.1,2,0.0,0,0.0,31,15,12,0,0,0,0.0
